01idhab;02idpolhab;03numsite;04cdhab;05lbhab;06rechab;07surfhab;08calrecha;09habdom;10cohabpol;11cdhabref;12lball;13autall;14lbsal;15autsal;16lbass;17autass;18formveg;19stadhhab;20cdn2000;21lbn2000;22cdcahab;23lbcahab;24cdcb;25lbcb;26cdeunis;27lbeunis;28cddynhab;29lbdynhab;30cdusagpr;31lbusagpr;32plusages;33cddegprh;34lbdegprh;35pldeghab;36cdedchab;37lbedchab;38cdgest;39lbgest;40plgest;41cdrestau;42lbrestau;43cdhabori;44cocbn;45evalcbn;46uuidhab;47uuidpol;;;;;;;;;;;;;;;;;;;;
1603;1603;FR8201720;QUE_PUB1;Chênaie pubescente submontagnarde xérophile neutrocalcicole;100;0,84;O;oui;;-1;Quercion pubescenti-petraeae;Br.-Bl. 1932;Sorbo ariae-Quercenion pubescentis;Rameau ex J.-M. Royer, Felzines, Misset & Thévenin 2009;Quercetum pubescenti-petraeae;Imchenetzky nom. invers. Hernis 1933;boisement feuillu  (mésophile à sec);NC;NC;non concerné;NC;non concerné;41.711;Bois occidentaux de Quercus pubescens;G1.711;Chênaies à Quercus pubescens occidentales;1;stable;NR;non renseigné;U;I01;Espèces exotiques envahissantes;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1605;1605;FR8201720;CAL_GEN;Lande à callune collinéenne à sub-montagnarde sur grès;70;0,07;O;oui;;16674;Genisto pilosae-Vaccinion uliginosi;Br.-Bl. 1926;non renseigné;non renseigné;non renseigné;non renseigné;Lande (et landine);IC;4030;Landes sèches européennes;4030-10;Landes acidiphiles subatlantiques sèches à subsèches;31.22;Landes subatlantiques à Genêt et Callune;F4.22;Landes subatlantiques à Calluna et Genista;3;régressive;A03.03;Abandon / Absence de fauche;U;A03.03;Abandon / Absence de fauche;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16052;16052;FR8201720;SOL_NU;Sol nu;30;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1607;1607;FR8201720;CAL_GEN;Lande à callune collinéenne à sub-montagnarde sur grès;90;0,08;O;oui;;16674;Genisto pilosae-Vaccinion uliginosi;Br.-Bl. 1926;non renseigné;non renseigné;non renseigné;non renseigné;Lande (et landine);IC;4030;Landes sèches européennes;4030-10;Landes acidiphiles subatlantiques sèches à subsèches;31.22;Landes subatlantiques à Genêt et Callune;F4.22;Landes subatlantiques à Calluna et Genista;3;régressive;A03.03;Abandon / Absence de fauche;U;A04.03;Abandon de systèmes pastoraux, sous-pâturage;N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16082;1608;FR8201720;SPH_ALN;Aulnaie-boulaie collinéenne faiblement turfigène à sphaignes;40;0,06;O;non;;16618;Sphagno-Alnion glutinosae;(Doing-Kraft in Maas 1959) H.Passarge et Hofmann 1968;non renseigné;non renseigné;non renseigné;non renseigné;Boisement feuillu humide;NC;NC;non concerné;NC;non concerné;44.912;Bois d'Aulnes marécageux oligotrophes;G1.412;Aulnaies marécageuses oligotrophes;1;stable;NR;non renseigné;U;K02.01;Modification de la composition spécifique (succession);N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1608;1608;FR8201720;SHP_MED;Tourbière et bombements à sphaignes;60;0,06;O;oui;;16657;Sphagnion medii;M.Kästner et Flössner 1933;non renseigné;non renseigné;non renseigné;non renseigné;haut-marais;PR;7110;Tourbières hautes actives;7110-1;Végétation des tourbières hautes actives;51.1;Tourbières hautes à peu près naturelles;D1.1;Tourbières hautes;3;régressive;NR;non renseigné;U;K02.01;Modification de la composition spécifique (succession);N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16092;1609;FR8201720;SHP_MED;Tourbière et bombements à sphaignes;10;0,11;O;non;;16657;Sphagnion medii;M.Kästner et Flössner 1933;non renseigné;non renseigné;non renseigné;non renseigné;haut-marais;PR;7110;Tourbières hautes actives;7110-1;Végétation des tourbières hautes actives;51.1;Tourbières hautes à peu près naturelles;D1.1;Tourbières hautes;3;régressive;NR;non renseigné;U;K02.01;Modification de la composition spécifique (succession);N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1609;1609;FR8201720;SPH_ALN;Aulnaie-boulaie collinéenne faiblement turfigène à sphaignes;90;0,11;O;oui;;16618;Sphagno-Alnion glutinosae;(Doing-Kraft in Maas 1959) H.Passarge et Hofmann 1968;non renseigné;non renseigné;non renseigné;non renseigné;Boisement feuillu humide;NC;NC;non concerné;NC;non concerné;44.912;Bois d'Aulnes marécageux oligotrophes;G1.412;Aulnaies marécageuses oligotrophes;1;stable;NR;non renseigné;U;K02.01;Modification de la composition spécifique (succession);N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1610;1610;FR8201720;CAL_GEN;Lande à callune collinéenne à sub-montagnarde sur grès;100;0,12;O;oui;;16674;Genisto pilosae-Vaccinion uliginosi;Br.-Bl. 1926;non renseigné;non renseigné;non renseigné;non renseigné;Lande (et landine);IC;4030;Landes sèches européennes;4030-10;Landes acidiphiles subatlantiques sèches à subsèches;31.22;Landes subatlantiques à Genêt et Callune;F4.22;Landes subatlantiques à Calluna et Genista;3;régressive;A03.03;Abandon / Absence de fauche;U;A04.03;Abandon de systèmes pastoraux, sous-pâturage;N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16072;1607;FR8201720;SOL_NU;Sol nu;10;0,08;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;3;régressive;A03.03;Abandon / Absence de fauche;U;A04.03;Abandon de systèmes pastoraux, sous-pâturage;N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
